Priority,Workflow stage,Property package,Address(es),APN(s),Est. value,Est. equity,Distress trigger,Sale status,Title owner,Trustor / borrower,Beneficiary / lender,Foreclosure trustee,Control lead,Control evidence,Beneficial owner proven?,Risk flags,Next broker action,Evidence packet path
P1,Recorded role verified - sale status pending,3519 W Washington Blvd,"3519 W Washington Blvd, Los Angeles, CA 90018",5072-021-014,"$4,127,000","-$12,218",NOD 20250382425 and NTS 20250632753 on 2022 Artes loan,"SuperiorDefault public status checked 2026-06-02 for case 2024-2355: original sale 2025-10-28, current sale 2026-06-18 at 11:00 AM, status Postponed due to Beneficiaries Request, NOS amount $4,137,723.58, opening/sold amount $0.00.",Euclid Hazard Capital LLC by grant deed 20250641571 recorded 2025-09-17,"3521 MSB Capital LLC on DOT 20220667371, NOD, and NTS",Artes Capital REIT I LLC,S.B.S. Trust Deed Network,Joshua Rabi Golcheh signed the 2022 DOT as manager of 3521 MSB; Kamran Kohan signed the 2025 transfer from 3521 MSB to Euclid.,High recorded-role confidence. Private beneficial ownership not proven.,No,Title owner != trustor; Postponed sale 2026-06-18; Day-of-sale status still needs recheck; Beneficial ownership unproven,"Broker action: treat 3519 as a live postponed S.B.S. sale with next date 2026-06-18; recheck SuperiorDefault/S.B.S. immediately before outreach, then contact Golcheh/3521 channels and Artes/S.B.S. for payoff or workout path.",raw_run_not_included
P1,Recorded role verified - sale status pending,210 S Orange Grove Blvd,"210 S Orange Grove Blvd, Pasadena, CA 91105",5713-013-057,"$16,661,363","$1,900,452","NOD 20260071283 and NTS 20260343605, Preferred Bank loan chain","Recorded NTS sale date 2026-06-03 at 11:00 AM, Pomona. PropertyShark appears as a secondary cross-check for 25-00381-2FNT and companion 25-00380-2FNT; it also lists Preferred Bank / (866) 684-2727 on Preferred Bank rows. Live ServiceLink/Fidelity/Preferred verification is still required.",SDRES Partners LLC by 2017 grant deed from Cantor Group LLC,SDRES Partners LLC as amended borrower/trustor; Cantor Group LLC was original trustor,Preferred Bank,Fidelity National Title Company,"Jason Miller signed the 2024 third amendment as SDRES manager. Earlier chain includes Deba Shyam, Banayatis Haddad, and Andrew Stupin as guarantor/party.",High recorded-chain confidence. Beneficial owner still not proven.,No,Sale date 2026-06-03; Companion sale no. 25-00380-2FNT; Secondary source only; Live sale status pending; Beneficial ownership unproven,"Broker action: call Fidelity/ServiceLink/Preferred on cases 25-00381-2FNT and 25-00380-2FNT before treating either sale as active, postponed, cancelled, or completed; if active, prioritize lender/trustee/status and SDRES manager outreach.",raw_run_not_included
P2,Recorded role verified - sale status pending,17046 Bellflower Blvd,"17046 Bellflower Blvd, Bellflower, CA 90706",7109-025-002,"$2,100,000","-$2,233,345",NTS 20250632770 on 2022 Artes loan,"SuperiorDefault public status checked 2026-06-02 for case 2024-2352: original sale 2025-10-22, current sale 2026-06-23 at 11:00 AM, status Postponed due to Beneficiaries Request, NOS amount $2,438,509.65, opening/sold amount $0.00.",Euclid Hazard Capital LLC by 2022 grant deed,Euclid Hazard Capital LLC on DOT 20220462477 and NTS,Artes Capital REIT I LLC,S.B.S. Trust Deed Network,Joshua Rabi Golcheh signed the recorded DOT as Euclid managing member.,High Euclid/Josh recorded-role confidence. Beneficial owner not proven.,No,Postponed sale 2026-06-23; Day-of-sale status still needs recheck; Companion collateral; Beneficial ownership unproven,Broker action: treat Bellflower as companion collateral with live postponed S.B.S. sale date 2026-06-23; recheck SuperiorDefault/S.B.S. before outreach.,raw_run_not_included
P2,Recorded role verified - sale status pending,23750 Alessandro Blvd,"23750 Alessandro Blvd, Moreno Valley, CA 92553","Multi-APN: 296-300-006, 296-280-010, 296-280-017, 296-300-008","$14,186,883","-$12,936,717",NOD 2025-0152493 on Nano Banc DOT 2024-0380460; high-value negative-equity multi-APN site,"NOD default amount $1,319,053.44 as of 2025-05-17. First American public foreclosure search checked 2026-06-02 for TS 1262662 returned no public rows, including Riverside county query; no reliable public NTS/sale/postponement/cancellation/result found.",Alessandro Group LLC across the researched multi-APN collateral,Alessandro Group LLC on Nano Banc NOD/DOT and 2024/2025 DOT package,Nano Banc on defaulted loan; Socotra REIT I LLC appears on later 2025 DOT,First American Title Insurance Company on NOD; Socotra Capital Inc. on 2025 Socotra DOT,Japjeev Singh Sethi signed recorded 2024 Cantor DOTs and 2025 Socotra DOT as Alessandro Group LLC manager.,High recorded trustor/signer confidence. Beneficial ownership not proven.,No,Multi-APN collateral; FirstAm public search no result for TS 1262662; Live sale status pending; Beneficial ownership unproven,Broker action: treat Alessandro as NOD/default-stage or non-public/unpublished sale-status until Nano Banc/First American/trustee confirms TS 1262662; then pursue Japjeev Sethi/control-side and lender/workout channels.,raw_run_not_included
P2,Recorded role verified - sale status pending,6458 Van Buren Blvd,"6458 Van Buren Blvd, Riverside, CA 92503",155-290-062,"$4,548,632","-$1,058,400",NTS 2026-0016064 and trustee's deed 2026-0062742 on T Bank loan,"MK/Assured public sheet checked 2026-06-02 lists F25-00158 at 6458 Van Buren, sale 2026-02-19 at 9:00 AM, PP-bid/cxl $4,300,000.00, result $4,300,000.00, trustee ASSURED. Trustee's deed recorded to T Bank. BKalerts/PACER-derived summary shows Ch.11 case 6:25-bk-14654 dismissed 2026-03-25; still verify official docket/title posture.","T Bank N.A. after trustee's deed; this is lender/title-holder role, not operator",Riverside Express Car Wash LLC on DOT/NOD/NTS,T Bank N.A.,"Assured Lender Services, Inc. for foreclosure; Fidelity National Title Company on original DOT",Amariah Olson signed the 2021 T Bank DOT through Olson Capital Investments LLC on the borrower side.,High lender/title/trustor split confidence; high recorded signer confidence. Beneficial ownership not proven.,No,Bank is not operator; Public BK dismissal needs official check; MK result shows completed $4.3M sale; Beneficial ownership unproven,"Broker action: confirm official Riverside bankruptcy dismissal and current lender/title/possession posture, then separate T Bank/lender-owned contact from borrower-side Amariah Olson outreach.",raw_run_not_included
P2,Recorded role verified - sale status pending,2035 N Tustin Ave,"2035 N Tustin Ave, Santa Ana, CA 92705",396-291-07,"$3,659,000","-$324,549",NTS 2026000079891 and trustee's deed 2026000109548 on T Bank loan,"MK/Assured public sheet checked 2026-06-02 lists F25-00157 at 2035 N Tustin, sale 2026-04-15 at 3:00 PM, PP-bid/cxl $3,200,000.00, result $3,200,000.00, trustee ASSURED. Trustee's deed recorded to T Bank. BKalerts/PACER-derived summary shows Ch.11 case 6:25-bk-15662 with INTRA/APPEAL header and May 2026 activity; do not treat title/status as clean until official docket is checked.","T Bank N.A. after trustee's deed; this is lender/title-holder role, not operator",Santa Ana Express Car Wash LLC on DOT/NOD/NTS,T Bank N.A.,"Assured Lender Services, Inc. for foreclosure; Fidelity National Title Company on original DOT",Amariah Olson / Olson Capital Investments LLC appears in the 2021 DOT signature certification for Santa Ana Express Car Wash LLC.,High lender/title/trustor split confidence; high recorded signer confidence. Beneficial ownership not proven.,No,Bank is not operator; Active-looking BK/appeal risk; MK result shows completed $3.2M sale; Beneficial ownership unproven,Broker action: verify official Santa Ana bankruptcy/appeal posture before relying on the recorded trustee's deed or MK sale result; keep lender/title and borrower/control outreach separate.,raw_run_not_included
P3,Recorded role verified - sale status pending,S Grove Ave Ontario portfolio,"2460/2504/2522/2530 S Grove Ave, Ontario, CA",2530 S Grove observed APN 1051-321-51-0000,"$9,147,158","-$7,783,863",Four-row commercial cluster; two negative-equity rows; WAB collateral and bankruptcy signal,No current live sale status established. BKalerts direct case pages show Conejo Ch.11 case 8:26-bk-11647 filed 2026-05-28 with 2026-06-01 activity and 2026-07-07 status hearing; related Cantor Group LLC Ch.11 case 8:26-bk-11706 filed 2026-05-29 with schedules/statements due 2026-06-12.,"Conejo Riverside Group LLC from TitlePro free search, grant deed, and SOS evidence",Conejo Riverside Group LLC on Preferred Bank 2017 DOT and 2025 third amendment,Preferred Bank,Not active in pulled Conejo docs; foreclosure/workout status needs live verification,Jason Miller signed the 2025 third amendment as Conejo manager; older 2017 chain shows Cantor Group Manager LLC / Deba Shyam.,High recorded-role confidence. Beneficial ownership not proven.,No,Fresh Chapter 11 signal; Related Cantor filing signal; Older Cantor chain; Beneficial ownership unproven,Broker action: check official Conejo/Cantor bankruptcy dockets and Preferred Bank/WAB status before outreach; use Jason Miller as recorded control lead unless newer docs displace him.,raw_run_not_included
P3,Lead Generation - document gap,Newhall Ranch retail package,"28207/28251/28291/28301 Newhall Ranch Rd, Valencia, CA",28207 observed APN 2866-006-063,"$101,341,612","$15,405,157","TitlePro profile B49537140 shows 2026 NOD 26-0290769, TS/case 2026-100955, on $20M Cantor debt with $26.6M delinquent amount as of 2026-04-17","Beacon public lookup checked 2026-06-02 confirms TS 2026-100955 and 28207 Newhall Ranch Road, Valencia, CA 91355. The public result does not expose live sale date/status/opening bid. Public Stox Quickbase/API probes for 100955, 26-0290769, and 28207 returned no matching public Trustee Sales row, so Beacon/Stox phone or authenticated status check is still required.",Galois Group LLC,Galois Group LLC on TitlePro profile NOD/debt-chain summary,Cantor Group V LLC as NOD beneficiary; Cantor Group IV LLC appears as 2025 origination lender,Beacon Default Management Inc. as NOD trustee/contact in TitlePro profile,Galois -> Cantor Group Manager LLC -> Deba Shyam SOI chain; signature-page document still manual retrieval if needed.,High title/debt-chain and management-chain confidence; beneficial owner not proven.,No,Current NOD; Beacon case/address confirmed; Live sale terms pending; Beneficial ownership unproven,Broker action: call Beacon Default at (310) 929-5457 or Stox sale line (844) 477-7869 for live sale date/status/opening bid on TS 2026-100955; manually retrieve NOD/DOT only if signature proof is required.,raw_run_not_included
P3,Lead Generation - document gap,Pacific Snow Valley / Vasari / Ventana,"40650 Village Dr, Big Bear Lake; 4800 Citrus Ave, Fontana",0308-271-01-0000; 0226-075-85-0000; 0226-075-84-0000,,,Big Bear has TitlePro NTS 2025-0314764 / TS 1228605 on $19M Hua Nan loan; First American public status now shows active sale date 2026-06-24. Fontana has Vasari/Ventana transfer and $62M PNC construction-loan context.,"First American public foreclosure search for TS 1228605 shows active-stage sale date 2026-06-24, NOD amount $25,461,332.85, NOS amount $26,488,642.35, lender contact Kevin Tseng at (213) 362-6666. This supersedes the stale 2026-02-04 public-notice date; APN/legal package still needs reconciliation. No live status established for Fontana.",Pacific Snow Valley Resort LLC; Vasari 2 LLC; Ventana 257 LLC,Pacific Snow Valley Resort LLC on Big Bear NTS; Vasari 2 LLC on PNC construction loan profile; Ventana/Vasari transfer chain on Fontana profile,Hua Nan Commercial Bank Ltd. Los Angeles Branch for Big Bear; PNC Bank N.A. for Vasari construction loan,"First American for Big Bear NTS; Fontana profiles are title/debt context, not active foreclosure",May Kay public/entity lead for Pacific Snow Valley; Richard Munkvold/Vasari and HDO4/Frontier leads for Fontana. These are not beneficial-owner proof.,High title-profile confidence; medium public control-lead confidence.,No,Placeholder owner corrected; FirstAm active sale 2026-06-24; Big Bear APN/package needs reconciliation; Manual signer docs pending; Beneficial ownership unproven,Broker action: use First American TS 1228605 / Kevin Tseng channel for Big Bear status and payoff path; reconcile APNs/legal package before presenting collateral as one clean parcel. Only manually retrieve signer documents if outreach needs proof beyond profile/entity records.,raw_run_not_included
P3,Lead Generation - document gap,Cerise Ave Hawthorne apartments,"14037 and 14103 Cerise Ave, Hawthorne, CA",4052-029-078; 4052-029-063,,,TitlePro profiles show 2026 NODs 26-0116455 and 26-0116264 on Columbia Bank collateral plus 2026 $7.5M Stormfield SPV I commercial loan.,"NODs only in profile, no sale date established. TS/cases 26-00047-2FNT and 26-00049-2FNT require live status checks.",Anastasi Lloyd R; L and L Anastasi Trust,Lloyd R. Anastasi / Anastasi trust parties in TitlePro profile NOD and trust-transfer history,Columbia Bank on NODs; Stormfield SPV I LLC on 2026 refinance,Theresa Leckey appears as NOD trustee/contact in TitlePro profile; live Fidelity/ServiceLink status still required,Lloyd R. Anastasi / Anastasi family trust control group; exact trust economics not proven.,High TitlePro title/trust path and NOD confidence; beneficial owner not proven.,No,Trust ownership; Current NODs; Manual signature docs pending; Beneficial ownership unproven,Broker action: verify live status for both TS cases; manually retrieve NOD/deed signature pages only if capacity proof is needed.,raw_run_not_included
